time_stemp,temperature(°C),humidity,fire_state
20250521_014616,31.1,82,0
20250521_014619,31.1,82,0
20250521_014622,31.1,82,0
20250521_014625,31.1,82,0
20250521_014628,31.1,82,0
20250521_014631,31.1,82,0
20250521_014634,31.1,82,0
20250521_014637,31.1,82,0
20250521_014640,31.1,82,0
20250521_014643,31.1,82,0
20250521_014646,31.1,82,0
20250521_014649,31.1,82,0
20250521_014652,31.1,82,0
20250521_014655,31.2,82,0
20250521_014658,31.2,82,0
20250521_014701,31.2,82,0
20250521_014704,31.2,82,0
20250521_014707,31.2,82,0
20250521_014710,31.2,82,0
20250521_014713,31.2,82,0
20250521_014716,31.2,82,0
20250521_014719,31.2,82,0
20250521_014722,31.2,82,0
20250521_014725,31.2,82,0
20250521_014728,31.2,82,0
20250521_014731,31.2,81,0
20250521_014734,31.2,81,0
20250521_014737,31.2,81,0
20250521_014740,31.2,81,0
20250521_014743,31.2,81,0
20250521_014746,31.2,82,0
20250521_014749,31.2,81,0
20250521_014752,31.2,81,0
20250521_014755,31.2,81,0
20250521_014758,31.2,81,0
20250521_014801,31.2,81,0
20250521_014804,31.2,81,0
20250521_014807,31.2,81,0
20250521_014810,31.2,81,0
20250521_014813,31.2,81,0
20250521_014816,31.2,81,0
20250521_014819,31.1,81,0
20250521_014822,31.1,81,0
20250521_014825,31.1,81,0
20250521_014828,31.1,81,0
20250521_014831,31.1,81,0
20250521_014834,31.1,81,0
20250521_014837,31.1,81,0
20250521_014840,31.1,81,0
20250521_014843,31.1,81,0
20250521_014846,31.1,81,0
20250521_014849,31.1,82,0
20250521_014852,31.1,82,0
20250521_014855,31.1,81,0
20250521_014858,31.1,81,0
20250521_014901,31.1,81,0
20250521_014904,31.1,82,0
20250521_014907,31.1,82,0
20250521_014910,31.1,82,0
20250521_014913,31.1,82,0
20250521_014916,31.1,82,0
20250521_014919,31.1,82,0
20250521_014922,31.1,82,0
20250521_014925,31.1,82,0
20250521_014928,31.1,82,0
20250521_014931,31.1,82,0
20250521_014934,31.1,82,0
20250521_014937,31.1,82,0
20250521_014940,31.1,82,0
20250521_014943,31.1,82,0
20250521_014946,31.1,82,0
20250521_014949,31.1,82,0
20250521_014952,31.1,82,0
20250521_014955,31.1,82,0
20250521_014958,31.1,82,0
20250521_015001,31.1,82,0
20250521_015004,31.1,82,0
20250521_015007,31.1,82,0
20250521_015010,31.1,82,0
20250521_015013,31.1,82,0
20250521_015016,31.1,82,0
20250521_015019,31.1,82,0
20250521_015022,31.1,82,0
20250521_015025,31.1,82,0
20250521_015028,31.1,81,0
20250521_015031,31.1,81,0
20250521_015034,31.1,82,0
20250521_015037,31.1,82,0
20250521_015040,31.1,82,0
