time_stemp,temperature,humidity,fire_state
15:09:57,30.0,90.0,1.0
15:10:45,30.0,69.0,1.0
15:10:46,31.0,69.0,1.0
15:10:55,31.0,70.0,1.0
15:13:44,31.0,68.0,1.0
15:16:47,31.0,72.0,1.0
15:16:51,31.0,71.0,1.0
15:16:55,31.0,75.0,1.0
15:16:57,31.0,78.0,1.0
15:17:04,31.0,74.0,1.0
15:17:44,31.0,67.0,1.0
15:21:29,31.0,66.0,1.0
15:23:15,32.0,66.0,1.0
15:25:11,32.0,65.0,1.0
15:34:59,32.0,67.0,1.0
16:12:33,32.0,64.0,1.0
16:16:03,33.0,66.0,1.0
16:16:13,33.0,65.0,1.0
16:42:05,33.0,64.0,1.0
17:05:56,32.0,71.0,1.0
17:06:00,32.0,79.0,1.0
17:06:02,32.0,80.0,1.0
17:06:06,32.0,75.0,1.0
17:06:12,32.0,68.0,1.0
